neuron_id,spike_time
1,1.2154
1,1.2293
1,1.2402
1,1.2409
1,1.2523
1,2.3837
1,2.3950
1,2.3978
1,2.4010
1,2.4026
1,3.5661
1,3.5663
1,3.5680
1,3.5812
1,3.6211
1,3.7081
1,3.7110
1,3.7149
1,3.7185
1,3.7198
1,3.7565
1,3.7703
1,3.7854
1,3.8385
1,3.8595
1,4.4885
1,4.4989
1,4.5048
1,4.5053
1,4.5148
1,5.1832
1,5.1983
1,5.2186
1,5.2219
1,5.2224
1,6.7484
1,6.7739
1,6.7821
1,6.7919
1,6.7948
1,6.7962
1,6.7976
1,6.7988
1,6.8035
1,6.8110
1,7.3026
1,7.3198
1,7.3243
1,7.3281
1,7.3375
1,7.3392
1,7.3584
1,7.3713
1,7.3746
1,7.3766
1,7.8871
1,7.8902
1,7.8909
1,7.8960
1,7.9185
1,8.7576
1,8.7884
1,8.8089
1,8.8200
1,8.8385
1,8.9482
1,8.9589
1,8.9627
1,8.9649
1,8.9863
1,9.5581
1,9.5600
1,9.5631
1,9.5728
1,9.5769
1,9.6404
1,9.6620
1,9.6775
1,9.6892
1,9.6909
1,9.6913
1,9.6958
1,9.6971
1,9.7011
1,9.7018
1,9.8461
1,9.8558
1,9.8588
1,9.8592
1,9.8865
2,0.4069
2,0.4283
2,0.4338
2,0.4472
2,0.4503
2,1.1498
2,1.1612
2,1.1754
2,1.1849
2,1.1968
2,1.3345
2,1.3454
2,1.3680
2,1.3962
2,1.4028
2,2.1634
2,2.1775
2,2.1859
2,2.2103
2,2.2208
2,2.9846
2,2.9951
2,3.0008
2,3.0019
2,3.0047
2,3.0645
2,3.0685
2,3.0711
2,3.0755
2,3.0962
2,5.7564
2,5.7584
2,5.7585
2,5.7629
2,5.7644
2,6.1030
2,6.1041
2,6.1109
2,6.1211
2,6.1498
2,6.7841
2,6.8015
2,6.8091
2,6.8264
2,6.8300
2,6.9064
2,6.9089
2,6.9194
2,6.9258
2,6.9345
2,7.4078
2,7.4193
2,7.4298
2,7.4438
2,7.4441
2,7.5531
2,7.5661
2,7.5705
2,7.5729
2,7.5800
2,8.3653
2,8.3686
2,8.3829
2,8.4126
2,8.4166
2,8.6196
2,8.6202
2,8.6206
2,8.6392
2,8.6456
2,8.9722
2,8.9918
2,9.0166
2,9.0248
2,9.0459
2,9.2403
2,9.2453
2,9.2477
2,9.2615
2,9.2829
2,9.6336
2,9.6367
2,9.6469
2,9.6520
2,9.6692
2,9.8453
2,9.8459
2,9.8495
2,9.8502
2,9.8549
3,0.2456
3,0.2555
3,0.2632
3,0.2667
3,0.2739
3,0.3097
3,0.3120
3,0.3162
3,0.3204
3,0.3215
3,1.8471
3,1.8574
3,1.8694
3,1.8751
3,1.8811
3,1.9993
3,2.0110
3,2.0150
3,2.0246
3,2.0310
3,2.5997
3,2.6285
3,2.6499
3,2.6594
3,2.6714
3,2.6956
3,2.7002
3,2.7132
3,2.7235
3,2.7258
3,2.9795
3,2.9799
3,2.9910
3,2.9920
3,2.9945
3,3.0100
3,3.0118
3,3.0166
3,3.0572
3,3.0630
3,3.0643
3,3.0740
3,3.0807
3,3.0855
3,3.0861
3,3.0952
3,3.1026
3,3.1397
3,3.1480
3,3.1509
3,3.8716
3,3.8841
3,3.8940
3,3.9149
3,3.9377
3,4.0529
3,4.0686
3,4.0753
3,4.0765
3,4.0819
3,4.3927
3,4.4124
3,4.4147
3,4.4274
3,4.4501
3,4.8255
3,4.8350
3,4.8611
3,4.8663
3,4.8712
3,4.9207
3,4.9228
3,4.9246
3,4.9557
3,4.9797
3,6.3866
3,6.3898
3,6.4032
3,6.4467
3,6.4684
3,6.6588
3,6.6655
3,6.6764
3,6.6839
3,6.6872
3,6.6949
3,6.7057
3,6.7406
3,6.7426
3,6.7545
3,6.7719
3,6.7721
3,6.7776
3,6.7910
3,6.8138
3,7.0220
3,7.0254
3,7.0261
3,7.0295
3,7.0376
3,7.0600
3,7.0643
3,7.0785
3,7.0787
3,7.0964
3,7.2207
3,7.2303
3,7.2309
3,7.2341
3,7.2399
3,7.6130
3,7.6139
3,7.6147
3,7.6161
3,7.6245
3,7.6550
3,7.6767
3,7.6775
3,7.6862
3,7.6897
3,7.8064
3,7.8072
3,7.8228
3,7.8427
3,7.8649
3,8.5998
3,8.6163
3,8.6171
3,8.6193
3,8.6254
3,8.6297
3,8.6416
3,8.6632
3,8.6749
3,8.6774
3,9.1108
3,9.1137
3,9.1285
3,9.1298
3,9.1304
3,9.1307
3,9.1423
3,9.1445
3,9.1458
3,9.1885
4,0.3305
4,0.3314
4,0.3627
4,0.3658
4,0.3728
4,0.5131
4,0.5259
4,0.5362
4,0.5591
4,0.5610
4,0.6170
4,0.6213
4,0.6285
4,0.6699
4,0.6753
4,0.9832
4,0.9896
4,0.9916
4,0.9918
4,1.0074
4,1.6680
4,1.6699
4,1.6791
4,1.6828
4,1.6889
4,2.5614
4,2.5616
4,2.5837
4,2.6242
4,2.6311
4,2.9988
4,3.0215
4,3.0268
4,3.0366
4,3.0572
4,4.6928
4,4.7120
4,4.7235
4,4.7337
4,4.7514
4,5.4644
4,5.4681
4,5.4704
4,5.4737
4,5.4779
4,5.5560
4,5.5620
4,5.5655
4,5.5711
4,5.5777
4,7.1742
4,7.1839
4,7.1957
4,7.2113
4,7.2136
4,7.3834
4,7.3971
4,7.3976
4,7.4033
4,7.4128
4,9.0764
4,9.0948
4,9.1078
4,9.1097
4,9.1156
4,9.2621
4,9.2701
4,9.2843
4,9.3090
4,9.3150
4,9.4925
4,9.4949
4,9.5016
4,9.5074
4,9.5155
5,0.6673
5,0.6819
5,0.6908
5,0.6982
5,0.7039
5,1.4197
5,1.4590
5,1.4695
5,1.4971
5,1.5375
5,1.9681
5,1.9729
5,1.9792
5,1.9802
5,2.0039
5,3.3946
5,3.4220
5,3.4463
5,3.4467
5,3.4643
5,5.1918
5,5.1926
5,5.2039
5,5.2100
5,5.2258
5,5.8756
5,5.8811
5,5.8903
5,5.8904
5,5.8927
5,6.8274
5,6.8276
5,6.8380
5,6.8480
5,6.8489
5,7.0998
5,7.1143
5,7.1383
5,7.1399
5,7.1501
5,7.1540
5,7.1806
5,7.1872
5,7.1968
5,7.2001
5,7.5732
5,7.5871
5,7.5977
5,7.5979
5,7.5982
5,8.8680
5,8.8831
5,8.8924
5,8.8944
5,8.9107
5,8.9756
5,8.9797
5,8.9862
5,8.9921
5,8.9956
5,9.1652
5,9.1688
5,9.1708
5,9.1714
5,9.1748
5,9.6817
5,9.6856
5,9.6883
5,9.7039
5,9.7090
5,9.9615
5,9.9731
5,9.9847
5,9.9884
5,9.9969
6,0.3786
6,0.3786
6,0.3834
6,0.3904
6,0.3934
6,0.4645
6,0.4827
6,0.4890
6,0.4949
6,0.4964
6,0.6400
6,0.6632
6,0.6691
6,0.6764
6,0.7051
6,0.7232
6,0.7236
6,0.7447
6,0.7516
6,0.7530
6,1.2671
6,1.2738
6,1.2895
6,1.2898
6,1.2906
6,1.3179
6,1.3196
6,1.3295
6,1.3301
6,1.3492
6,1.3883
6,1.4382
6,1.4383
6,1.4405
6,1.4479
6,1.4717
6,1.5129
6,1.5464
6,1.5532
6,1.5732
6,1.7297
6,1.7372
6,1.7421
6,1.7622
6,1.7682
6,1.8217
6,1.8318
6,1.8387
6,1.8437
6,1.8471
6,2.4551
6,2.4552
6,2.4583
6,2.4585
6,2.4610
6,2.8729
6,2.8976
6,2.9217
6,2.9257
6,2.9555
6,5.4085
6,5.4089
6,5.4115
6,5.4223
6,5.4241
6,7.1050
6,7.1193
6,7.1194
6,7.1197
6,7.1392
6,7.4660
6,7.4929
6,7.5083
6,7.5197
6,7.5240
6,7.7824
6,7.7831
6,7.7975
6,7.7985
6,7.8006
6,7.8482
6,7.8486
6,7.8594
6,7.8600
6,7.8621
6,8.6657
6,8.6891
6,8.7250
6,8.7381
6,8.7499
7,0.1494
7,0.1689
7,0.1798
7,0.1886
7,0.2103
7,0.7122
7,0.7188
7,0.7251
7,0.7601
7,0.7773
7,1.3042
7,1.3059
7,1.3105
7,1.3127
7,1.3174
7,2.0181
7,2.0270
7,2.0293
7,2.0317
7,2.0718
7,2.8358
7,2.8572
7,2.8579
7,2.8609
7,2.8656
7,3.6659
7,3.6754
7,3.6755
7,3.6788
7,3.6957
7,3.7150
7,3.7192
7,3.7255
7,3.7348
7,3.7411
7,4.2628
7,4.2850
7,4.2871
7,4.2950
7,4.2961
7,4.7369
7,4.7432
7,4.7469
7,4.7478
7,4.7553
7,5.7795
7,5.7926
7,5.7964
7,5.8041
7,5.8063
7,5.8318
7,5.8357
7,5.8641
7,5.8695
7,5.8783
7,6.3984
7,6.4122
7,6.4413
7,6.4456
7,6.4587
7,6.7149
7,6.7355
7,6.7370
7,6.7385
7,6.7460
7,7.0395
7,7.0428
7,7.0506
7,7.0536
7,7.0800
7,7.1278
7,7.1343
7,7.1417
7,7.1544
