neuron_id,spike_time
1,0.4382
1,0.6299
1,0.7628
1,0.7875
1,0.8122
1,0.8209
1,1.1137
1,1.2475
1,1.4268
1,1.4298
1,1.9398
1,2.1999
1,2.2347
1,2.2639
1,2.2934
1,2.3462
1,2.4545
1,2.5368
1,2.5869
1,2.7247
1,2.7466
1,2.7969
1,2.8633
1,2.9519
1,3.1758
1,3.2083
1,3.3134
1,3.4440
1,3.4510
1,3.5871
1,3.6143
1,3.6241
1,4.0571
1,4.5478
1,4.7883
1,4.8412
1,4.8562
1,5.0240
1,5.1084
1,5.1274
1,5.2269
1,5.2320
1,5.5814
1,5.6250
1,5.7832
1,5.8375
1,5.9444
1,6.0596
1,6.0894
1,6.5978
1,6.8151
1,7.2235
1,7.5513
1,7.6840
1,8.0551
1,8.0686
1,8.1004
1,8.1071
1,8.1644
1,8.2360
1,8.2821
1,8.5390
1,8.6032
1,8.6513
1,8.7652
1,8.7873
1,9.0232
1,9.0345
1,9.6654
1,9.8808
1,9.9131
1,9.9139
2,0.1167
2,0.2485
2,0.2554
2,0.2951
2,0.3061
2,0.4838
2,0.5711
2,0.6070
2,0.6128
2,0.6461
2,0.6813
2,0.7982
2,0.8889
2,1.0839
2,1.1410
2,1.1524
2,1.2640
2,1.3919
2,1.4655
2,1.5972
2,1.6581
2,1.7242
2,1.7740
2,1.7763
2,1.7865
2,1.7894
2,1.8798
2,1.9136
2,1.9770
2,2.1899
2,2.2155
2,2.2627
2,2.3886
2,2.4118
2,2.4190
2,2.4496
2,2.4653
2,2.7026
2,2.8501
2,2.9398
2,3.1231
2,3.2686
2,3.2871
2,3.4865
2,3.5557
2,3.7030
2,3.9053
2,3.9395
2,3.9499
2,3.9731
2,4.0228
2,4.1751
2,4.3513
2,4.3519
2,4.4158
2,4.4641
2,4.4866
2,4.4980
2,4.5348
2,4.7907
2,4.8256
2,4.8909
2,4.9994
2,5.0398
2,5.3587
2,5.6520
2,5.6779
2,5.7394
2,5.7714
2,5.8013
2,5.8047
2,5.8888
2,5.9512
2,5.9559
2,5.9851
2,6.1986
2,6.2231
2,6.2371
2,6.2971
2,6.6764
2,6.7012
2,6.8009
2,6.9290
2,6.9533
2,7.0697
2,7.1107
2,7.2001
2,7.2898
2,7.3584
2,7.3669
2,7.5280
2,7.5626
2,7.5811
2,7.5848
2,7.6647
2,7.7658
2,7.7673
2,7.8315
2,7.8544
2,7.9470
2,7.9641
2,8.0691
2,8.1128
2,8.3595
2,8.3727
2,8.4100
2,8.4207
2,8.6519
2,8.8394
2,8.8661
2,8.9625
2,9.1144
2,9.1868
2,9.2542
2,9.2789
2,9.2877
2,9.4910
2,9.6972
2,9.7868
2,9.8238
2,9.8622
2,9.9779
3,0.1118
3,0.1878
3,0.1943
3,0.2073
3,0.3764
3,0.4453
3,0.4460
3,0.4539
3,0.5344
3,0.5347
3,0.5477
3,0.6065
3,0.6935
